ISO;Country;Region
AFG;Afghanistan;Southern Asia
ALA;Aland Islands;Northern Europe
ALB;Albania;Southern Europe
DZA;Algeria;Northern Africa
ASM;American Samoa;Polynesia
AND;Andorra;Southern Europe
AGO;Angola;Middle Africa
AIA;Anguilla;Caribbean
ATA;Antarctica;Antarctica
ANT;Netherlan Antilles;Northern America
ATG;Antigua and Barbuda;Caribbean
ARG;Argentina;South America
ARM;Armenia;Western Asia
ABW;Aruba;Caribbean
AUS;Australia;Australia and New Zealand
AUT;Austria;Western Europe
AZE;Azerbaijan;Western Asia
BHS;Bahamas;Caribbean
BHR;Bahrain;Western Asia
BGD;Bangladesh;Southern Asia
BRB;Barbados;Caribbean
BLR;Belarus;Eastern Europe
BEL;Belgium;Western Europe
BLZ;Belize;Central America
BEN;Benin;Western Africa
BMU;Bermuda;Northern America
BTN;Bhutan;Southern Asia
BOL;Bolivia (Plurinational State of);South America
BES;Bonaire, Sint Eustatius and Saba;Caribbean
BIH;Bosnia and Herzegovina;Southern Europe
BWA;Botswana;Southern Africa
BVT;Bouvet Island;South America
BRA;Brazil;South America
IOT;British Indian Ocean Territory;Eastern Africa
VGB;British Virgin Islands;Caribbean
BRN;Brunei Darussalam;South-eastern Asia
BGR;Bulgaria;Eastern Europe
BFA;Burkina Faso;Western Africa
BDI;Burundi;Eastern Africa
CPV;Cabo Verde;Western Africa
KHM;Cambodia;South-eastern Asia
CMR;Cameroon;Middle Africa
CAN;Canada;Northern America
CYM;Cayman Islands;Caribbean
CAF;Central African Republic;Middle Africa
TCD;Chad;Middle Africa
CHL;Chile;South America
CHN;China;Eastern Asia
HKG;China, Hong Kong Special Administrative Region;Eastern Asia
MAC;China, Macao Special Administrative Region;Eastern Asia
CXR;Christmas Island;Australia and New Zealand
CCK;Cocos (Keeling) Islands;Australia and New Zealand
COL;Colombia;South America
COM;Comoros;Eastern Africa
COG;Congo;Middle Africa
COK;Cook Islands;Polynesia
CRI;Costa Rica;Central America
CIV;Cote d’Ivoire;Western Africa
HRV;Croatia;Southern Europe
CUB;Cuba;Caribbean
CUW;Cura?ao;Caribbean
CYP;Cyprus;Western Asia
CZE;Czechia;Eastern Europe
PRK;Democratic People's Republic of Korea;Eastern Asia
COD;Democratic Republic of the Congo;Middle Africa
DNK;Denmark;Northern Europe
DJI;Djibouti;Eastern Africa
DMA;Dominica;Caribbean
DOM;Dominican Republic;Caribbean
ECU;Ecuador;South America
EGY;Egypt;Northern Africa
SLV;El Salvador;Central America
GNQ;Equatorial Guinea;Middle Africa
ERI;Eritrea;Eastern Africa
EST;Estonia;Northern Europe
SWZ;Eswatini;Southern Africa
ETH;Ethiopia;Eastern Africa
FLK;Falkland Islands (Malvinas);South America
FRO;Faroe Islands;Northern Europe
FJI;Fiji;Melanesia
FIN;Finland;Northern Europe
FRA;France;Western Europe
GUF;French Guiana;South America
PYF;French Polynesia;Polynesia
ATF;French Southern Territories;Eastern Africa
GAB;Gabon;Middle Africa
GMB;Gambia;Western Africa
GEO;Georgia;Western Asia
DEU;Germany;Western Europe
GHA;Ghana;Western Africa
GIB;Gibraltar;Southern Europe
GRC;Greece;Southern Europe
GRL;Greenland;Northern America
GRD;Grenada;Caribbean
GLP;Guadeloupe;Caribbean
GUM;Guam;Micronesia
GTM;Guatemala;Central America
GGY;Guernsey;Northern Europe
GIN;Guinea;Western Africa
GNB;Guinea-Bissau;Western Africa
GUY;Guyana;South America
HTI;Haiti;Caribbean
HMD;Heard Island and McDonald Islands;Australia and New Zealand
VAT;Holy See;Southern Europe
HND;Honduras;Central America
HUN;Hungary;Eastern Europe
ISL;Iceland;Northern Europe
IND;India;Southern Asia
IDN;Indonesia;South-eastern Asia
IRN;Iran (Islamic Republic of);Southern Asia
IRQ;Iraq;Western Asia
IRL;Ireland;Northern Europe
IMN;Isle of Man;Northern Europe
ISR;Israel;Western Asia
ITA;Italy;Southern Europe
JAM;Jamaica;Caribbean
JPN;Japan;Eastern Asia
JEY;Jersey;Northern Europe
JOR;Jordan;Western Asia
KAZ;Kazakhstan;Central Asia
KEN;Kenya;Eastern Africa
KIR;Kiribati;Micronesia
KWT;Kuwait;Western Asia
KGZ;Kyrgyzstan;Central Asia
LAO;Lao People's Democratic Republic;South-eastern Asia
LVA;Latvia;Northern Europe
LBN;Lebanon;Western Asia
LSO;Lesotho;Southern Africa
LBR;Liberia;Western Africa
LBY;Libya;Northern Africa
LIE;Liechtenstein;Western Europe
LTU;Lithuania;Northern Europe
LUX;Luxembourg;Western Europe
MDG;Madagascar;Eastern Africa
MWI;Malawi;Eastern Africa
MYS;Malaysia;South-eastern Asia
MDV;Maldives;Southern Asia
MLI;Mali;Western Africa
MLT;Malta;Southern Europe
MHL;Marshall Islands;Micronesia
MTQ;Martinique;Caribbean
MRT;Mauritania;Western Africa
MUS;Mauritius;Eastern Africa
MYT;Mayotte;Eastern Africa
MEX;Mexico;Central America
FSM;Micronesia (Federated States of);Micronesia
MCO;Monaco;Western Europe
MNG;Mongolia;Eastern Asia
MNE;Montenegro;Southern Europe
MSR;Montserrat;Caribbean
MAR;Morocco;Northern Africa
MOZ;Mozambique;Eastern Africa
MMR;Myanmar;South-eastern Asia
NAM;Namibia;Southern Africa
NRU;Nauru;Micronesia
NPL;Nepal;Southern Asia
NLD;Netherlands;Western Europe
NCL;New Caledonia;Melanesia
NZL;New Zealand;Australia and New Zealand
NIC;Nicaragua;Central America
NER;Niger;Western Africa
NGA;Nigeria;Western Africa
NIU;Niue;Polynesia
NFK;Norfolk Island;Australia and New Zealand
MKD;North Macedonia;Southern Europe
MNP;Northern Mariana Islands;Micronesia
NOR;Norway;Northern Europe
OMN;Oman;Western Asia
PAK;Pakistan;Southern Asia
PLW;Palau;Micronesia
PAN;Panama;Central America
PNG;Papua New Guinea;Melanesia
PRY;Paraguay;South America
PER;Peru;South America
PHL;Philippines;South-eastern Asia
PCN;Pitcairn;Polynesia
POL;Poland;Eastern Europe
PRT;Portugal;Southern Europe
PRI;Puerto Rico;Caribbean
QAT;Qatar;Western Asia
KOR;Republic of Korea;Eastern Asia
MDA;Republic of Moldova;Eastern Europe
REU;R?union;Eastern Africa
ROU;Romania;Eastern Europe
RUS;Russian Federation;Eastern Europe
RWA;Rwanda;Eastern Africa
BLM;Saint Barth?lemy;Caribbean
SHN;Saint Helena;Western Africa
KNA;Saint Kitts and Nevis;Caribbean
LCA;Saint Lucia;Caribbean
MAF;Saint Martin (French Part);Caribbean
SPM;Saint Pierre and Miquelon;Northern America
VCT;Saint Vincent and the Grenadines;Caribbean
WSM;Samoa;Polynesia
SMR;San Marino;Southern Europe
STP;Sao Tome and Principe;Middle Africa
CRQ;Sark;Northern Europe
SAU;Saudi Arabia;Western Asia
SEN;Senegal;Western Africa
SRB;Serbia;Southern Europe
SYC;Seychelles;Eastern Africa
SLE;Sierra Leone;Western Africa
SGP;Singapore;South-eastern Asia
SXM;Sint Maarten (Dutch part);Caribbean
SVK;Slovakia;Eastern Europe
SVN;Slovenia;Southern Europe
SLB;Solomon Islands;Melanesia
SOM;Somalia;Eastern Africa
ZAF;South Africa;Southern Africa
SGS;South Georgia and the South Sandwich Islands;South America
SSD;South Sudan;Eastern Africa
ESP;Spain;Southern Europe
LKA;Sri Lanka;Southern Asia
PSE;State of Palestine;Western Asia
SDN;Sudan;Northern Africa
SUR;Suriname;South America
SJM;Svalbard and Jan Mayen Islands;Northern Europe
SWE;Sweden;Northern Europe
CHE;Switzerland;Western Europe
SYR;Syrian Arab Republic;Western Asia
TJK;Tajikistan;Central Asia
THA;Thailand;South-eastern Asia
TLS;Timor-Leste;South-eastern Asia
TGO;Togo;Western Africa
TKL;Tokelau;Polynesia
TON;Tonga;Polynesia
TTO;Trinidad and Tobago;Caribbean
TUN;Tunisia;Northern Africa
TUR;Turkey;Western Asia
TKM;Turkmenistan;Central Asia
TCA;Turks and Caicos Islands;Caribbean
TUV;Tuvalu;Polynesia
TWN;Taiwan;Eastern Asia
UGA;Uganda;Eastern Africa
UKR;Ukraine;Eastern Europe
ARE;United Arab Emirates;Western Asia
GBR;United Kingdom of Great Britain and Northern Ireland;Northern Europe
TZA;United Republic of Tanzania;Eastern Africa
UMI;United States Minor Outlying Islands;Micronesia
USA;United States of America;Northern America
VIR;United States Virgin Islands;Caribbean
URY;Uruguay;South America
UZB;Uzbekistan;Central Asia
VUT;Vanuatu;Melanesia
VEN;Venezuela (Bolivarian Republic of);South America
VNM;Viet Nam;South-eastern Asia
WLF;Wallis and Futuna Islands;Polynesia
ESH;Western Sahara;Northern Africa
YEM;Yemen;Western Asia
ZMB;Zambia;Eastern Africa
ZWE;Zimbabwe;Eastern Africa
